product_id,product_name,sku,stock,price,category_name,extracted_supplier
516,TE 16 PP 100 GESTIRRIEGO,TE-16-PP-100-GESTIRRIEGO,56,2.25,,
517,ENLACE PP Ø 16 GESTIRRIEGO,ENLACE-PP-Ø-16-GESTIRRIEGO,54,0.85,Equipos de Riego,
479,Cabeza de Aspersor Spinn Net 70 lph (Inders),CABEZA-DE-ASPERSOR-SPINN-NET-70-LPH-INDERS,50,17.48,Equipos de Riego,Inders
493,tubin de 30 cm+inserto sin contrapeso (de aspersor Spinnet 70 lph),TUBIN-DE-30-CMINSERTO-SIN-CONTRAPESO-DE-ASPERSOR-S,48,36.00,Mangueras y Tuberías,de aspersor Spinnet 70 lph
487,Aspersor para estaca Rivulis Rondo 75 l/h | 5 mm TH | Rotor negro+antifugas+Boquilla Verde+tubin negro 67 cm+inserto azul (INVERTEX),ASPERSOR-PARA-ESTACA-RIVULIS-RONDO-75-LH-5-MM-TH-R,46,14.00,,INVERTEX
455,MALLA ANTIAFIDOS EN COLOR CRISTAL 50X25 hxp DE 3.65X100 METROS (Insumo Forestal),MALLA-ANTIAFIDOS-EN-COLOR-CRISTAL-50X25-HXP-DE-365,46,79.99,Mallas,Insumo Forestal
463,PLASTICO BLANCO LECHOSO 6.2X100 M 25% SOMRA (POPUSA),PLASTICO-BLANCO-LECHOSO-62X100-M-25-SOMRA-POPUSA,44,68.74,Materiales para invernadero,POPUSA
514,TOMA INJERTO 16 GRAN CAUDAL INICIAL GESTIRRIEGO,TOMA-INJERTO-16-GRAN-CAUDAL-INICIAL-GESTIRRIEGO,44,0.63,,
374,Perfil sugetador Galbanizado 6 (Cortado a 3 m) (Aranza),PERFIL-SUGETADOR-GALBANIZADO-6-CORTADO-A-3-M-ARANZ,43,32.50,Materiales para invernadero,Aranza
385,Perfil sugetador Galbanizado 6 (Cortado a 3 m) (Aranza),PERFIL-SUGETADOR-GALBANIZADO-6-CORTADO-A-3-M-ARANZ-1,43,32.50,,Aranza
444,CHAROLA DE PLASTICO NEGRO RIGIDAS DE 200 CAVIDADES (INSUMO),CHAROLA-DE-PLASTICO-NEGRO-RIGIDAS-DE-200-CAVIDADES,42,33.87,,INSUMO
474,Valvulas  PRO GRIP 5/8x400 barb + goma (LAMSA),VALVULAS-PRO-GRIP-58X400-BARB-GOMA-LAMSA,40,13.46,Equipos de Riego,LAMSA
476,GOTERO PC JUNIOR CNL 8 L/H SAL. DENTADA (Inders),GOTERO-PC-JUNIOR-CNL-8-LH-SAL-DENTADA-INDERS,28,2.78,Equipos de Riego,Inders
391,"Abrazadera Armada Galv Cal. 12 de 1 1/4 x 2"" (Doña Paula)(04)",ABRAZADERA-ARMADA-GALV-CAL-12-DE-1-14-X-2-DOÑA-PAU,22,22.62,,04
554,"Válvula de pie (Pichancha) de 2"" rejilla de latón (INVERTEX)",VÁLVULA-DE-PIE-PICHANCHA-DE-2-REJILLA-DE-LATÓN-INV,22,355.00,,INVERTEX
